item_id,Question,Final Answer,Reasoning,Option a,Option b,Option c,Option d,Language,Subdomain,Type,Domain
497,হিসাবরক্ষণে IAS এর অর্থ হল,খ,বিকল্প   ক : ভারতীয় প্রশাসনিক পরিষেবা         বিকল্প   খ : আন্তর্জাতিক হিসাব মান         বিকল্প   গ : ভারতীয় হিসাব মান         বিকল্প   ঘ : উপরের কোনোটিই নয়,ভারতীয় প্রশাসনিক পরিষেবা,আন্তর্জাতিক হিসাব মান,ভারতীয় হিসাব মান,উপরের কোনোটিই নয়,bengali,,,
497,लेखांकनामध्ये IAS चा अर्थ आहे,ख,पर्याय   क : भारतीय प्रशासकीय सेवा         पर्याय   ख : आंतरराष्ट्रीय लेखा मानक         पर्याय   ग : भारतीय लेखा मानक         पर्याय   घ : वरीलपैकी काहीही नाही,भारतीय प्रशासकीय सेवा,आंतरराष्ट्रीय लेखा मानक,भारतीय लेखा मानक,वरीलपैकी काहीही नाही,marathi,,,
497,હિસાબીમાં IAS નો અર્થ છે,ખ,વિકલ્પ   ક : ભારતીય વહીવટી સેવા         વિકલ્પ   ખ : આંતરરાષ્ટ્રીય હિસાબી ધોરણ         વિકલ્પ   ગ : ભારતીય હિસાબી ધોરણ         વિકલ્પ   ઘ : ઉપરોક્તમાંથી કોઈ નહીં,ભારતીય વહીવટી સેવા,આંતરરાષ્ટ્રીય હિસાબી ધોરણ,ભારતીય હિસાબી ધોરણ,ઉપરોક્તમાંથી કોઈ નહીં,gujarati,,,
497,கணக்கில் IAS என்பதன் பொருள்,௨,விருப்பம்   அ : இந்திய நிர்வாக சேவை         விருப்பம்   ஆ : சர்வதேச கணக்கியல் தரநிலை         விருப்பம்   இ : இந்திய கணக்கியல் தரநிலை         விருப்பம்   ஈ : மேற்கண்டவற்றில் எதுவும் இல்லை,இந்திய நிர்வாக சேவை,சர்வதேச கணக்கியல் தரநிலை,இந்திய கணக்கியல் தரநிலை,மேற்கண்டவற்றில் எதுவும் இல்லை,tamil,,,
498,भारत में कुल कितने Ind AS हैं?,क,भारत में वर्तमान में कुल ४१ Ind AS   Indian Accounting Standards  लागू हैं।,39,38,42,41,hindi,,,
498,ভারতে মোট কতগুলি Ind AS রয়েছে?,ক,ভারতে বর্তমানে মোট ৪১টি Ind AS   Indian Accounting Standards  কার্যকর রয়েছে।,39,38,42,41,bengali,,,
498,भारतात एकूण किती Ind AS आहेत?,क,भारतात सध्या एकूण ४१ Ind AS   Indian Accounting Standards  लागू आहेत.,39,38,42,41,marathi,,,
498,ભારતમાં કુલ કેટલા Ind AS છે?,ક,ભારતમાં હાલમાં કુલ ૪૧ Ind AS   Indian Accounting Standards  અમલમાં છે.,39,38,42,41,gujarati,,,
498,இந்தியாவில் மொத்தம் எத்தனை Ind AS உள்ளன?,௧,இந்தியாவில் தற்போது மொத்தம் ௪௧ Ind AS   Indian Accounting Standards  நடைமுறையில் உள்ளன.,39,38,42,41,tamil,,,
499,आयकर किसके अंतर्गत आता है,ख,विकल्प क: Ind AS 11         विकल्प ख: Ind AS 12         विकल्प ग: Ind AS 13         विकल्प घ: Ind AS 14,Ind AS 11,Ind AS 12,Ind AS 13,Ind AS 14,hindi,,,
499,আয়কর কোনটির অন্তর্গত,খ,বিকল্প ক: Ind AS 11         বিকল্প খ: Ind AS 12         বিকল্প গ: Ind AS 13         বিকল্প ঘ: Ind AS 14,Ind AS 11,Ind AS 12,Ind AS 13,Ind AS 14,bengali,,,
499,आयकर कोणत्या अंतर्गत येतो,ख,पर्याय क: Ind AS 11         पर्याय ख: Ind AS 12         पर्याय ग: Ind AS 13         पर्याय घ: Ind AS 14,Ind AS 11,Ind AS 12,Ind AS 13,Ind AS 14,marathi,,,
499,આવકવેરો કયા હેઠળ આવે છે,ખ,વિકલ્પ ક: Ind AS 11         વિકલ્પ ખ: Ind AS 12         વિકલ્પ ગ: Ind AS 13         વિકલ્પ ઘ: Ind AS 14,Ind AS 11,Ind AS 12,Ind AS 13,Ind AS 14,gujarati,,,
499,வருமான வரி எதன் கீழ் வருகிறது,௨,விருப்பம் அ: Ind AS 11         விருப்பம் ஆ: Ind AS 12         விருப்பம் இ: Ind AS 13         விருப்பம் ஈ: Ind AS 14,Ind AS 11,Ind AS 12,Ind AS 13,Ind AS 14,tamil,,,
500,अमूर्त परिसंपत्तियाँ किसके अंतर्गत आती हैं,घ,विकल्प क: एएस २२         विकल्प ख: एएस २३         विकल्प ग: एएस २४         विकल्प घ: एएस २६,एएस २२,एएस २३,एएस २४,एएस २६,hindi,,,
500,অমূর্ত সম্পদ কোনটির অন্তর্গত,ঘ,বিকল্প ক: এএস ২২         বিকল্প খ: এএস ২৩         বিকল্প গ: এএস ২৪         বিকল্প ঘ: এএস ২৬,এএস ২২,এএস ২৩,এএস ২৪,এএস ২৬,bengali,,,
500,अमूर्त मालमत्ता कोणत्या अंतर्गत येतात,घ,पर्याय क: एएस २२         पर्याय ख: एएस २३         पर्याय ग: एएस २४         पर्याय घ: एएस २६,एएस २२,एएस २३,एएस २४,एएस २६,marathi,,,
500,અમૂર્ત સંપત્તિઓ કયા હેઠળ આવે છે,ઘ,વિકલ્પ ક: એએસ ૨૨         વિકલ્પ ખ: એએસ ૨૩         વિકલ્પ ગ: એએસ ૨૪         વિકલ્પ ઘ: એએસ ૨૬,એએસ ૨૨,એએસ ૨૩,એએસ ૨૪,એએસ ૨૬,gujarati,,,
500,மூலதனமற்ற சொத்துகள் எதன் கீழ் வருகின்றன,௪,விருப்பம் அ: ஏஎஸ் ௨௨         விருப்பம் ஆ: ஏஎஸ் ௨௩         விருப்பம் இ: ஏஎஸ் ௨௪         விருப்பம் ஈ: ஏஎஸ் ௨௬,ஏஎஸ் ௨௨,ஏஎஸ் ௨௩,ஏஎஸ் ௨௪,ஏஎஸ் ௨௬,tamil,,,
501,अमूर्त परिसंपत्तियाँ किसके अंतर्गत आती हैं,घ,विकल्प क: Ind AS 37   विकल्प ख: Ind AS 23   विकल्प ग: Ind AS 26   विकल्प घ: Ind AS 38,Ind AS 37,Ind AS 23,Ind AS 26,Ind AS 38,hindi,,,
501,অমূর্ত সম্পদ কোনটির অন্তর্গত,ঘ,বিকল্প ক: Ind AS 37   বিকল্প খ: Ind AS 23   বিকল্প গ: Ind AS 26   বিকল্প ঘ: Ind AS 38,Ind AS 37,Ind AS 23,Ind AS 26,Ind AS 38,bengali,,,
501,अमूर्त मालमत्ता कोणत्या अंतर्गत येतात,घ,पर्याय क: Ind AS 37   पर्याय ख: Ind AS 23   पर्याय ग: Ind AS 26   पर्याय घ: Ind AS 38,Ind AS 37,Ind AS 23,Ind AS 26,Ind AS 38,marathi,,,
501,અમૂર્ત સંપત્તિઓ કયા હેઠળ આવે છે,ઘ,વિકલ્પ ક: Ind AS 37   વિકલ્પ ખ: Ind AS 23   વિકલ્પ ગ: Ind AS 26   વિકલ્પ ઘ: Ind AS 38,Ind AS 37,Ind AS 23,Ind AS 26,Ind AS 38,gujarati,,,
501,மூலதனமற்ற சொத்துகள் எதன் கீழ் வருகின்றன,௪,விருப்பம் க: Ind AS 37   விருப்பம் ங: Ind AS 23   விருப்பம் ச: Ind AS 26   விருப்பம் ஘: Ind AS 38,Ind AS 37,Ind AS 23,Ind AS 26,Ind AS 38,tamil,,,
502,XBRL का पूर्ण रूप है,ग,विकल्प क: Extensible Business Reporting league         विकल्प ख: Extensible Boards Reporting language         विकल्प ग: Extensible Business Reporting language         विकल्प घ: Estimated Business Reporting language,Extensible Business Reporting league,Extensible Boards Reporting language,Extensible Business Reporting language,Estimated Business Reporting language,hindi,,,
502,XBRL এর পূর্ণরূপ হল,গ,বিকল্প ক: Extensible Business Reporting league         বিকল্প খ: Extensible Boards Reporting language         বিকল্প গ: Extensible Business Reporting language         বিকল্প ঘ: Estimated Business Reporting language,Extensible Business Reporting league,Extensible Boards Reporting language,Extensible Business Reporting language,Estimated Business Reporting language,bengali,,,
502,XBRL चे पूर्ण रूप आहे,ग,पर्याय क: Extensible Business Reporting league         पर्याय ख: Extensible Boards Reporting language         पर्याय ग: Extensible Business Reporting language         पर्याय घ: Estimated Business Reporting language,Extensible Business Reporting league,Extensible Boards Reporting language,Extensible Business Reporting language,Estimated Business Reporting language,marathi,,,
502,XBRL નું સંપૂર્ણ નામ છે,ગ,વિકલ્પ ક: Extensible Business Reporting league         વિકલ્પ ખ: Extensible Boards Reporting language         વિકલ્પ ગ: Extensible Business Reporting language         વિકલ્પ ઘ: Estimated Business Reporting language,Extensible Business Reporting league,Extensible Boards Reporting language,Extensible Business Reporting language,Estimated Business Reporting language,gujarati,,,
502,XBRL என்பதன் விரிவாக்கம்,௩,விருப்பம் அ: Extensible Business Reporting league         விருப்பம் ஆ: Extensible Boards Reporting language         விருப்பம் இ: Extensible Business Reporting language         விருப்பம் ஈ: Estimated Business Reporting language,Extensible Business Reporting league,Extensible Boards Reporting language,Extensible Business Reporting language,Estimated Business Reporting language,tamil,,,
503,लेखांकन मानक का मुख्य उद्देश्य है,घ,विकल्प   क : विविध लेखांकन नीतियों का मानकीकरण करना   विकल्प   ख : लेखांकन में असमानताओं को कम करना   विकल्प   ग : वित्तीय विवरणों की तुलनीयता सुनिश्चित करना   विकल्प   घ : उपरोक्त सभी,विविध लेखांकन नीतियों का मानकीकरण करना,लेखांकन में असमानताओं को कम करना,वित्तीय विवरणों की तुलनीयता सुनिश्चित करना,उपरोक्त सभी,hindi,,,
503,হিসাব মানের প্রধান উদ্দেশ্য হল,ঘ,বিকল্প   ক : বিভিন্ন হিসাব নীতির মানকরণ করা   বিকল্প   খ : হিসাবের অমিল কমানো   বিকল্প   গ : আর্থিক বিবৃতির তুলনীয়তা নিশ্চিত করা   বিকল্প   ঘ : উপরোক্ত সবগুলো,বিভিন্ন হিসাব নীতির মানকরণ করা,হিসাবের অমিল কমানো,আর্থিক বিবৃতির তুলনীয়তা নিশ্চিত করা,উপরোক্ত সবগুলো,bengali,,,
503,लेखांकन मानकाचा मुख्य उद्देश आहे,घ,पर्याय   क : विविध लेखांकन धोरणांचे मानकीकरण करणे   पर्याय   ख : लेखांकनातील विसंगती कमी करणे   पर्याय   ग : आर्थिक विवरणांची तुलनात्मकता सुनिश्चित करणे   पर्याय   घ : वरील सर्व,विविध लेखांकन धोरणांचे मानकीकरण करणे,लेखांकनातील विसंगती कमी करणे,आर्थिक विवरणांची तुलनात्मकता सुनिश्चित करणे,वरील सर्व,marathi,,,
503,એકાઉન્ટિંગ સ્ટાન્ડર્ડનો મુખ્ય હેતુ છે,ઘ,વિકલ્પ   ક : વિવિધ એકાઉન્ટિંગ નીતિઓનું સ્ટાન્ડર્ડાઇઝેશન કરવું   વિકલ્પ   ખ : એકાઉન્ટિંગમાં અસમાનતા ઘટાડવી   વિકલ્પ   ગ : નાણાકીય હિસાબોની તુલનાત્મકતા સુનિશ્ચિત કરવી   વિકલ્પ   ઘ : ઉપરોક્ત બધું,વિવિધ એકાઉન્ટિંગ નીતિઓનું સ્ટાન્ડર્ડાઇઝેશન કરવું,એકાઉન્ટિંગમાં અસમાનતા ઘટાડવી,નાણાકીય હિસાબોની તુલનાત્મકતા સુનિશ્ચિત કરવી,ઉપરોક્ત બધું,gujarati,,,
503,கணக்கியல் தரநிலையின் முக்கிய நோக்கம்,௪,விருப்பம்   அ : பல்வேறு கணக்கியல் கொள்கைகளை ஒரே மாதிரியாக்குதல்   விருப்பம்   ஆ : கணக்கியலில் உள்ள வேறுபாடுகளை குறைத்தல்   விருப்பம்   இ : நிதி அறிக்கைகளின் ஒப்பீட்டு திறனை உறுதி செய்தல்   விருப்பம்   ஘ : மேலே கூறிய அனைத்தும்,பல்வேறு கணக்கியல் கொள்கைகளை ஒரே மாதிரியாக்குதல்,கணக்கியலில் உள்ள வேறுபாடுகளை குறைத்தல்,நிதி அறிக்கைகளின் ஒப்பீட்டு திறனை உறுதி செய்தல்,மேலே கூறிய அனைத்தும்,tamil,,,
504,भारत के GAAP की स्थापना किसके द्वारा की गई है?,ख,विकल्प   क : MCA         विकल्प   ख : ICAI         विकल्प   ग : वित्त मंत्रालय         विकल्प   घ : ICSI,कॉरपोरेट कार्य मंत्रालय   MCA ,भारतीय चार्टर्ड एकाउंटेंट्स संस्थान   ICAI ,वित्त मंत्रालय,भारतीय कंपनी सचिव संस्थान   ICSI ,hindi,,,
504,ভারতের GAAP কার দ্বারা প্রতিষ্ঠিত হয়েছে?,খ,বিকল্প   ক : MCA         বিকল্প   খ : ICAI         বিকল্প   গ : অর্থ মন্ত্রক         বিকল্প   ঘ : ICSI,কর্পোরেট বিষয়ক মন্ত্রক   MCA ,ইনস্টিটিউট অফ চার্টার্ড অ্যাকাউন্ট্যান্টস অফ ইন্ডিয়া   ICAI ,অর্থ মন্ত্রক,ইনস্টিটিউট অফ কোম্পানি সেক্রেটারিজ অফ ইন্ডিয়া   ICSI ,bengali,,,
504,भारतातील GAAP ची स्थापना कोणी केली आहे?,ख,पर्याय   क : MCA         पर्याय   ख : ICAI         पर्याय   ग : वित्त मंत्रालय         पर्याय   घ : ICSI,कॉर्पोरेट व्यवहार मंत्रालय   MCA ,इन्स्टिट्यूट ऑफ चार्टर्ड अकाउंटंट्स ऑफ इंडिया   ICAI ,वित्त मंत्रालय,इन्स्टिट्यूट ऑफ कंपनी सेक्रेटरीज ऑफ इंडिया   ICSI ,marathi,,,
504,ભારતના GAAP ની સ્થાપના કોણે કરી છે?,ખ,વિકલ્પ   ક : MCA         વિકલ્પ   ખ : ICAI         વિકલ્પ   ગ : નાણાં મંત્રાલય         વિકલ્પ   ઘ : ICSI,કોર્પોરેટ બાબતોનું મંત્રાલય   MCA ,ઇન્સ્ટિટ્યૂટ ઓફ ચાર્ટર્ડ એકાઉન્ટન્ટ્સ ઓફ ઇન્ડિયા   ICAI ,નાણાં મંત્રાલય,ઇન્સ્ટિટ્યૂટ ઓફ કંપની સેક્રેટરીઝ ઓફ ઇન્ડિયા   ICSI ,gujarati,,,
504,இந்தியாவின் GAAP யாரால் நிறுவப்பட்டது?,௨,விருப்பம்   அ : MCA         விருப்பம்   ஆ : ICAI         விருப்பம்   இ : நிதி அமைச்சகம்         விருப்பம்   ஈ : ICSI,நிறுவன விவகார அமைச்சகம்   MCA ,இந்திய சாட்டர்டு அக்கவுண்டன்ட்ஸ் நிறுவனம்   ICAI ,நிதி அமைச்சகம்,இந்திய கம்பெனி செயலாளர்கள் நிறுவனம்   ICSI ,tamil,,,
505,आईसीएआई द्वारा कितने लेखा मानक जारी किए गए हैं?,क,,38,41,32,12,hindi,,,
505,আইসিএআই কতগুলি হিসাব মান জারি করেছে?,ক,,38,41,32,12,bengali,,,
505,आयसीएआयने किती लेखा मानके जारी केली आहेत?,क,,38,41,32,12,marathi,,,
505,આઈસીએઆઈ દ્વારા કેટલા એકાઉન્ટિંગ સ્ટાન્ડર્ડ જાહેર કરવામાં આવ્યા છે?,ક,,38,41,32,12,gujarati,,,
505,ICAI எத்தனை கணக்கியல் தரநிலைகளை வெளியிட்டுள்ளது?,௧,,38,41,32,12,tamil,,,
506,"कई देशों में प्रयुक्त, व्यवसाय इकाई द्वारा वित्तीय विवरण तैयार करने के लिए वैश्विक रूप से मान्यता प्राप्त मानकों के सेट को क्या कहा जाता है?",क,विकल्प क: IFRS         विकल्प ख: ICAI         विकल्प ग: ASB         विकल्प घ: IAS,IFRS,ICAI,ASB,IAS,hindi,,,
506,"একাধিক দেশে ব্যবহৃত, ব্যবসায়িক সত্তা কর্তৃক আর্থিক বিবৃতি প্রস্তুতির জন্য বৈশ্বিকভাবে স্বীকৃত মানসমূহের সেটকে কী বলা হয়?",ক,বিকল্প ক: IFRS         বিকল্প খ: ICAI         বিকল্প গ: ASB         বিকল্প ঘ: IAS,IFRS,ICAI,ASB,IAS,bengali,,,
506,"अनेक देशांमध्ये वापरल्या जाणाऱ्या, व्यवसाय इकाईकडून वित्तीय विवरण तयार करण्यासाठी जागतिक स्तरावर मान्यता प्राप्त मानकांच्या संचाला काय म्हणतात?",क,पर्याय क: IFRS         पर्याय ख: ICAI         पर्याय ग: ASB         पर्याय घ: IAS,IFRS,ICAI,ASB,IAS,marathi,,,
506,"ઘણા દેશોમાં ઉપયોગમાં લેવાતા, વ્યાવસાયિક એકમ દ્વારા નાણાકીય હિસાબ તૈયાર કરવા માટે વૈશ્વિક સ્તરે માન્ય ધોરણોના સમૂહને શું કહેવામાં આવે છે?",ક,વિકલ્પ ક: IFRS         વિકલ્પ ખ: ICAI         વિકલ્પ ગ: ASB         વિકલ્પ ઘ: IAS,IFRS,ICAI,ASB,IAS,gujarati,,,
506,"பல நாடுகளில் பயன்படுத்தப்படும், வணிக நிறுவனத்தால் நிதி அறிக்கைகளை தயாரிக்க உலகளவில் அங்கீகரிக்கப்பட்ட தரநிலைகளின் தொகுப்பை என்ன என்று அழைக்கப்படுகிறது?",௧,விருப்பம் அ: IFRS         விருப்பம் ஆ: ICAI         விருப்பம் இ: ASB         விருப்பம் ஈ: IAS,IFRS,ICAI,ASB,IAS,tamil,,,
507,आईसीएआई द्वारा लेखा मानक तैयार करने के लिए गठित बोर्ड को क्या कहा जाता है?,ग,विकल्प क: आईएफ़आरएस         विकल्प ख: आईसीएआई         विकल्प ग: एएसबी         विकल्प घ: आईएएस,आईएफ़आरएस,आईसीएआई,एएसबी,आईएएस,hindi,,,
507,হিসাব মান প্রণয়নের জন্য আইসিএআই কর্তৃক গঠিত বোর্ডটির নাম কী?,গ,বিকল্প ক: আইএফআরএস         বিকল্প খ: আইসিএআই         বিকল্প গ: এএসবি         বিকল্প ঘ: আইএএস,আইএফআরএস,আইসিএআই,এএসবি,আইএএস,bengali,,,
507,लेखा मानक तयार करण्यासाठी आयसीएआयने स्थापन केलेल्या मंडळाला काय म्हणतात?,ग,पर्याय क: आयएफआरएस         पर्याय ख: आयसीएआय         पर्याय ग: एएसबी         पर्याय घ: आयएएस,आयएफआरएस,आयसीएआय,एएसबी,आयएएस,marathi,,,
507,એકાઉન્ટિંગ સ્ટાન્ડર્ડ ઘડવા માટે આઈસીએઆઈ દ્વારા રચાયેલ બોર્ડને શું કહેવામાં આવે છે?,ગ,વિકલ્પ ક: આઈએફઆરએસ         વિકલ્પ ખ: આઈસીએઆઈ         વિકલ્પ ગ: એએસબી         વિકલ્પ ઘ: આઈએએસ,આઈએફઆરએસ,આઈસીએઆઈ,એએસબી,આઈએએસ,gujarati,,,
507,கணக்கியல் தரநிலைகளை உருவாக்குவதற்காக ICAI அமைத்த குழுவின் பெயர் என்ன?,௩,விருப்பம் அ: IFRS         விருப்பம் ஆ: ICAI         விருப்பம் இ: ASB         விருப்பம் ஈ: IAS,IFRS,ICAI,ASB,IAS,tamil,,,
508,"व्यावसायिक और वित्तीय डेटा के इलेक्ट्रॉनिक संचार के लिए प्रयुक्त एक भाषा, जो विश्वभर में व्यावसायिक रिपोर्टिंग में क्रांति ला रही है, को क्या कहा जाता है?",क,"विकल्प क: XBRL एक मानकीकृत भाषा है जिसका उपयोग व्यवसायिक और वित्तीय डेटा के इलेक्ट्रॉनिक संचार के लिए किया जाता है। यह विश्वभर में व्यवसायिक रिपोर्टिंग को अधिक कुशल, सटीक और पारदर्शी बनाती है।",क: XBRL,ख: ASB,ग: IAS,घ: IFRS,hindi,,,
508,"ব্যবসায়িক ও আর্থিক তথ্যের ইলেকট্রনিক যোগাযোগের জন্য ব্যবহৃত একটি ভাষা, যা সারা বিশ্বে ব্যবসায়িক প্রতিবেদন ব্যবস্থায় বিপ্লব ঘটাচ্ছে, তাকে কী বলা হয়?",ক,"বিকল্প ক: XBRL একটি মানসম্মত ভাষা যা ব্যবসায়িক ও আর্থিক তথ্যের ইলেকট্রনিক যোগাযোগের জন্য ব্যবহৃত হয়। এটি বিশ্বব্যাপী ব্যবসায়িক প্রতিবেদনকে আরও দক্ষ, সঠিক এবং স্বচ্ছ করে তোলে।",ক: XBRL,খ: ASB,গ: IAS,ঘ: IFRS,bengali,,,
508,"व्यवसायिक आणि आर्थिक डेटाच्या इलेक्ट्रॉनिक संप्रेषणासाठी वापरली जाणारी, जी जगभरातील व्यवसायिक अहवाल प्रणालीत क्रांती घडवून आणत आहे, अशी भाषा काय म्हणून ओळखली जाते?",क,"पर्याय क: XBRL ही एक मानकीकृत भाषा आहे जी व्यवसायिक आणि आर्थिक डेटाच्या इलेक्ट्रॉनिक संप्रेषणासाठी वापरली जाते. ती जगभरातील व्यवसायिक अहवाल अधिक कार्यक्षम, अचूक आणि पारदर्शक बनवते.",क: XBRL,ख: ASB,ग: IAS,घ: IFRS,marathi,,,
508,"વ્યવસાયિક અને નાણાકીય ડેટાના ઇલેક્ટ્રોનિક સંચાર માટે ઉપયોગમાં લેવાતી, જે વિશ્વભરમાં વ્યવસાયિક રિપોર્ટિંગમાં ક્રાંતિ લાવી રહી છે, એવી ભાષાને શું કહેવામાં આવે છે?",ક,"વિકલ્પ ક: XBRL એ એક માનકીકૃત ભાષા છે જે વ્યવસાયિક અને નાણાકીય ડેટાના ઇલેક્ટ્રોનિક સંચાર માટે ઉપયોગમાં લેવાય છે. તે વિશ્વભરમાં વ્યવસાયિક રિપોર્ટિંગને વધુ કાર્યક્ષમ, ચોક્કસ અને પારદર્શક બનાવે છે।",ક: XBRL,ખ: ASB,ગ: IAS,ઘ: IFRS,gujarati,,,
508,"வணிக மற்றும் நிதி தரவுகளின் மின்னணு தொடர்புக்கு பயன்படுத்தப்படும், உலகளவில் வணிக அறிக்கையிடலில் புரட்சியை ஏற்படுத்தி வரும் ஒரு மொழி எவ்வாறு அழைக்கப்படுகிறது?",௧,"விருப்பம் அ: XBRL என்பது வணிக மற்றும் நிதி தரவுகளின் மின்னணு தொடர்புக்கு பயன்படுத்தப்படும் ஒரு தரநிலைப்படுத்தப்பட்ட மொழியாகும். இது உலகளவில் வணிக அறிக்கையிடலை மேலும் திறமையானது, துல்லியமானது மற்றும் வெளிப்படையானதாக மாற்றுகிறது.",அ: XBRL,ஆ: ASB,இ: IAS,ஈ: IFRS,tamil,,,
509,अंतरिम वित्तीय प्रतिवेदन किसके अंतर्गत आता है,घ,विकल्प क: Ind AS 31         विकल्प ख: Ind AS 32         विकल्प ग: Ind AS 33         विकल्प घ: Ind AS 34,Ind AS 31,Ind AS 32,Ind AS 33,Ind AS 34,hindi,,,
509,অন্তর্বর্তীকালীন আর্থিক প্রতিবেদন কোনটির অন্তর্গত,ঘ,বিকল্প ক: Ind AS 31         বিকল্প খ: Ind AS 32         বিকল্প গ: Ind AS 33         বিকল্প ঘ: Ind AS 34,Ind AS 31,Ind AS 32,Ind AS 33,Ind AS 34,bengali,,,
509,मध्यंतर वित्तीय अहवाल कोणत्या अंतर्गत येतो,घ,पर्याय क: Ind AS 31         पर्याय ख: Ind AS 32         पर्याय ग: Ind AS 33         पर्याय घ: Ind AS 34,Ind AS 31,Ind AS 32,Ind AS 33,Ind AS 34,marathi,,,
509,અંતરિમ નાણાકીય અહેવાલ કયા હેઠળ આવે છે,ઘ,વિકલ્પ ક: Ind AS 31         વિકલ્પ ખ: Ind AS 32         વિકલ્પ ગ: Ind AS 33         વિકલ્પ ઘ: Ind AS 34,Ind AS 31,Ind AS 32,Ind AS 33,Ind AS 34,gujarati,,,
509,இடைக்கால நிதி அறிக்கை எதன் கீழ் வருகிறது,௪,விருப்பம் க: Ind AS 31         விருப்பம் ங: Ind AS 32         விருப்பம் ச: Ind AS 33         விருப்பம் ஘: Ind AS 34,Ind AS 31,Ind AS 32,Ind AS 33,Ind AS 34,tamil,,,
510,"कटाव, जंग, सड़न और क्षय के कारण होने वाली मूल्यह्रास का उदाहरण है",क,"कटाव, जंग, सड़न और क्षय जैसी प्रक्रियाएँ किसी परिसंपत्ति की भौतिक स्थिति को सीधे प्रभावित करती हैं, जिससे उसकी उपयोगिता और मूल्य में कमी आती है। यह मूल्यह्रास का कारण ""भौतिक क्षरण"" की श्रेणी में आता है।",भौतिक क्षरण,आर्थिक कारक,समय कारक,उपरोक्त में से कोई नहीं,hindi,,,
510,"ক্ষয়, মরিচা, পচন এবং অবক্ষয়ের কারণে অবচয়ের উদাহরণ হল",ক,"ক্ষয়, মরিচা, পচন এবং অবক্ষয় সরাসরি একটি সম্পদের ভৌত অবস্থা নষ্ট করে, যার ফলে তার ব্যবহারযোগ্যতা ও মূল্য হ্রাস পায়। এটি অবচয়ের ""ভৌত অবনতি"" শ্রেণির অন্তর্গত।",ভৌত অবনতি,অর্থনৈতিক কারণ,সময়ের কারণ,উপরের কোনোটিই নয়,bengali,,,
510,"क्षरण, गंज, कुज आणि ऱ्हास यांमुळे होणाऱ्या घसाऱ्याचे उदाहरण आहे",क,"क्षरण, गंज, कुज आणि ऱ्हास या प्रक्रिया थेट मालमत्तेच्या भौतिक स्थितीवर परिणाम करतात, ज्यामुळे तिची उपयुक्तता आणि किंमत कमी होते. हा घसारा ""भौतिक ऱ्हास"" या प्रकारात मोडतो.",भौतिक ऱ्हास,आर्थिक घटक,कालगत घटक,वरीलपैकी काहीही नाही,marathi,,,
510,"કાટ, જંગ, સડાણ અને ક્ષયને કારણે થતો મૂલ્યહ્રાસનું ઉદાહરણ છે",ક,"કાટ, જંગ, સડાણ અને ક્ષય જેવી પ્રક્રિયાઓ સીધી સંપત્તીની ભૌતિક સ્થિતિને અસર કરે છે, જેના કારણે તેની ઉપયોગિતા અને કિંમત ઘટે છે. આ મૂલ્યહ્રાસ ""ભૌતિક ક્ષય"" શ્રેણીમાં આવે છે.",ભૌતિક ક્ષય,આર્થિક પરિબળ,સમય પરિબળ,ઉપરોક્તમાંથી કોઈ નહીં,gujarati,,,
510,"கரைதல், துரு, அழுகல் மற்றும் சிதைவு காரணமாக ஏற்படும் மதிப்பிழப்பின் ஒரு எடுத்துக்காட்டு",௧,"கரைதல், துரு, அழுகல் மற்றும் சிதைவு போன்ற செயல்முறைகள் ஒரு சொத்தின் உடல் நிலையை நேரடியாக பாதிக்கின்றன, இதனால் அதன் பயன்பாடு மற்றும் மதிப்பு குறைகிறது. இது ""உடல் சிதைவு"" வகையில் வரும் மதிப்பிழப்பு காரணமாகும்.",உடல் சிதைவு,பொருளாதார காரணி,கால காரணி,மேலே கூறியவை எதுவும் அல்ல,tamil,,,
511,"लीज़, पेटेंट और कॉपीराइट किस कारण से होने वाले मूल्यह्रास से संबंधित हैं?",ग,"विकल्प   क : भौतिक क्षरण — यह संपत्ति के भौतिक रूप से घिसने या टूटने से संबंधित है, जो यहाँ लागू नहीं होता।   विकल्प   ख : आर्थिक कारक — यह बाज़ार की परिस्थितियों या आर्थिक बदलावों के कारण मूल्य में कमी को दर्शाता है, जो यहाँ मुख्य कारण नहीं है।   विकल्प   ग : समय कारक — लीज़, पेटेंट और कॉपीराइट की वैधता समय-सीमा से बंधी होती है, इसलिए समय के साथ इनका मूल्य घटता है।   विकल्प   घ : उपरोक्त में से कोई नहीं — यह सही नहीं है क्योंकि समय कारक लागू होता है।",भौतिक क्षरण,आर्थिक कारक,समय कारक,उपरोक्त में से कोई नहीं,hindi,,,
